time(h),PH,溶氧（%）,菌体浓度（OD600）,酶活（OD405）,残糖浓度（g/L）
12,6.99,1.0,0.341,0.715,0.911
16,7.28,1.0,0.506,0.254,0.182
20,7.89,16.4,0.638,0.392,0.051
24,8.48,80.6,0.738,0.369,0.081
28,8.56,85.5,0.679,0.541,0.075
32,8.64,77.7,0.63,0.445,0.06
36,8.54,47.6,0.666,0.332,0.063
40,8.59,48.5,0.775,0.341,0.063
44,8.67,73.1,0.813,0.243,0.06
48,8.68,68.2,0.831,0.27,0.057
0,8.28,97.5,0.062,0.0,6.35
4,8.09,83.5,0.05,0.04,5.935
8,6.97,1.0,0.084,0.665,3.623
12,6.55,1.0,0.489,0.344,0.348
16,7.3,1.0,0.496,0.51,0.158
20,7.94,46.9,0.675,0.526,0.114
24,8.37,85.4,0.668,0.396,0.123
28,8.46,79.6,0.659,0.384,0.09
32,8.47,68.0,0.666,0.235,0.12
36,8.43,54.0,0.666,0.17,0.114
40,8.46,52.1,0.699,0.172,0.115
44,8.49,39.2,0.732,0.299,0.102
48,8.58,49.9,0.723,0.212,0.103
0,8.34,6.0,0.104,0.0,5.428
4,7.48,1.0,0.299,0.267,5.113
8,7.54,1.0,0.524,0.39,2.752
12,7.63,30.7,0.733,0.396,0.78
16,7.8,24.7,0.789,0.651,0.293
20,8.23,41.1,0.766,0.694,0.249
24,8.23,44.9,0.827,0.676,0.209
28,8.45,61.6,0.783,0.693,0.186
32,8.48,57.9,0.79,0.597,0.13
36,8.53,58.5,0.766,0.68,0.127
40,8.57,59.5,0.763,0.706,0.125
44,8.44,18.4,0.775,0.621,0.11
48,8.56,54.6,0.768,0.663,0.128
